Time	Amplitude	Beam	Grupo	UpperThreshold	LowerThreshold
			0	1.8000421204	1.4000327766
0.0	0.668715402389999	0.0	0		
0.015	0.674921406646534	0.0	0		
0.03	0.681127410903069	0.0	0		
0.045	0.689771861479189	0.0	0		
0.06	0.703289784245586	0.0	0		
0.075	0.716807707011982	0.0	0		
0.09	0.724925957164671	0.0	0		
0.105	0.730348158115449	0.0	0		
0.12	0.7357697061171	0.0	0		
0.135	0.739796092961738	0.0	0		
0.15	0.743822479806376	0.0	0		
0.165	0.75057759001491	0.0	0		
0.18	0.762774857896265	0.0	0		
0.195	0.774972125777621	0.0	0		
0.21	0.784310003171255	0.0	0		
0.225	0.792223195449915	0.0	0		
0.24	0.800134700106214	0.0	0		
0.255	0.806244071078478	0.0	0		
0.27	0.812353442050741	0.0	0		
0.285	0.819952966026251	0.0	0		
0.3	0.83051820510658	0.0	0		
0.315	0.841083444186909	0.0	0		
0.33	0.847754604984463	0.0	0		
0.345	0.852489635913756	0.0	0		
0.36	0.857228283176684	0.0	0		
0.375	0.864540201686545	0.0	0		
0.39	0.871852120196407	0.0	0		
0.405	0.879581146032682	0.0	0		
0.42	0.888138560206485	0.0	0		
0.435	0.896695974380288	0.0	0		
0.45	0.908590432024609	0.0	0		
0.465	0.922140565885763	0.0	0		
0.48	0.935686038694679	0.0	0		
0.495	0.946745181227951	0.0	0		
0.51	0.957804323761222	0.0	0		
0.525	0.965172671407497	0.0	0		
0.54	0.965226356565425	0.0	0		
0.555	0.965280041723354	0.0	0		
0.57	0.968285307046749	0.0	0		
0.585	0.972751912186401	0.0	0		
0.6	0.977247221974265	0.0	0		
0.615	0.993986254216372	0.0	0		
0.63	1.01072528645848	0.0	0		
0.645	1.02160850244797	0.0	0		
0.66	1.0209105953949	0.0	0		
0.675	1.02021268834183	0.0	0		
0.69	1.02163479375671	0.0	0		
0.705	1.02410431102142	0.0	0		
0.72	1.02657792679758	0.0	0		
0.735	1.03050768035795	0.0	0		
0.75	1.03443743391831	0.0	0		
0.765	1.03670982069902	0.0	0		
0.78	1.03571127676155	0.0	0		
0.795	1.03471273282408	0.0	0		
0.81	1.03348406070652	0.0	0		
0.825	1.03214193175831	0.0	0		
0.84	1.03073331752079	0.0	0		
0.855	1.00908746184402	0.0	0		
0.87	0.987441606167245	0.0	0		
0.885	0.97359512504144	0.0	0		
0.9	0.975109046495024	0.0	0		
0.915	0.976622967948607	0.0	0		
0.93	0.972192557015312	0.0	0		
0.945	0.964837690379106	0.0	0		
0.96	0.957523567768503	0.0	0		
0.975	0.961056051160199	0.0	0		
0.99	0.964588534551895	0.0	0		
1.005	0.964348075319515	0.0	0		
1.02	0.956692571798909	0.0	0		
1.035	0.949037068278305	0.0	0		
1.05	0.945436037970147	0.0	0		
1.065	0.943825483232293	0.0	0		
1.08	0.942222296774214	0.0	0		
1.095	0.942361878184829	0.0	0		
1.11	0.942501459595444	0.0	0		
1.125	0.944628028138337	0.0	0		
1.14	0.950651502857915	0.0	0		
1.155	0.956674977577492	0.0	0		
1.17	0.958316855496823	0.0	0		
1.185	0.957812215012295	0.0	0		
1.2	0.957281205428357	0.0	0		
1.215	0.951139623361337	0.0	0		
1.23	0.944998041294316	0.0	0		
1.245	0.942316717994598	0.0	0		
1.26	0.94640752702875	0.0	0		
1.275	0.950498336062901	0.0	0		
1.29	0.943447228705065	0.0	0		
1.305	0.93094932393931	0.0	0		
1.32	0.918481530173737	0.0	0		
1.335	0.911835307622189	0.0	0		
1.35	0.90518908507064	0.0	0		
1.365	0.899422758619382	0.0	0		
1.38	0.895374897711573	0.0	0		
1.395	0.891327036803764	0.0	0		
1.41	0.88411108013045	0.0	0		
1.425	0.875349662356518	0.0	0		
1.44	0.86662766261919	0.0	0		
1.455	0.864888263502306	0.0	0		
1.47	0.863148864385423	0.0	0		
1.485	0.858442085326317	0.0	0		
1.5	0.847952005467088	0.0	0		
1.515	0.837461925607859	0.0	0		
1.53	0.824769245017495	0.0	0		
1.545	0.811004370524628	0.0	0		
1.56	0.797249290268684	0.0	0		
1.575	0.785094970513671	0.0	0		
1.59	0.772940650758658	0.0	0		
1.605	0.762467127631481	0.0	0		
1.62	0.755262579437476	0.0	0		
1.635	0.748058031243471	0.0	0		
1.65	0.734544605004674	0.0	0		
1.665	0.717966628236352	0.0	0		
1.68	0.701391112583976	0.0	0		
1.695	0.685188931921154	0.0	0		
1.71	0.668986751258333	0.0	0		
1.725	0.650743660278773	0.0	0		
1.74	0.628539478959544	0.0	0		
1.755	0.606335297640317	0.0	0		
1.77	0.593995137542711	0.0	0		
1.785	0.586436267306377	0.0	0		
1.8	0.57884680891473	0.0	0		
1.815	0.566928703854603	0.0	0		
1.83	0.555010598794475	0.0	0		
1.845	0.547103153204465	0.0	0		
1.86	0.546963571793851	0.0	0		
1.875	0.546823990383237	0.0	0		
1.89	0.544050246606068	0.0	0		
1.905	0.540002385698259	0.0	0		
1.92	0.535905181927098	0.0	0		
1.935	0.525264783625669	0.0	0		
1.95	0.51462438532424	0.0	0		
1.965	0.504463584275013	0.0	0		
1.98	0.49522973711131	0.0	0		
1.995	0.485995889947608	0.0	0		
2.01	0.47608856166291	0.0	0		
2.025	0.465856170561737	0.0	0		
2.04	0.455525671342706	0.0	0		
2.055	0.432956430949564	0.0	0		
2.07	0.410387190556423	0.0	0		
2.085	0.389343035454809	0.0	0		
2.1	0.371240400201319	0.0	0		
2.115	0.353137764947829	0.0	0		
2.13	0.341549962591657	0.0	0		
2.145	0.333099918733711	0.0	0		
2.16	0.324645716092087	0.0	0		
2.175	0.315701768781198	0.0	0		
2.19	0.30675782147031	0.0	0		
2.205	0.295787430769363	0.0	0		
2.22	0.280916642023168	0.0	0		
2.235	0.266045853276974	0.0	0		
2.25	0.250304851188174	0.0	0		
2.265	0.234145618651696	0.0	0		
2.28	0.217993829735279	0.0	0		
2.295	0.202672085662484	0.0	0		
2.31	0.18735034158969	0.0	0		
2.325	0.172550605958158	0.0	0		
2.34	0.158753520370533	0.0	0		
2.355	0.144956434782909	0.0	0		
2.37	0.142697662054893	0.0	0		
2.385	0.145972456688531	0.0	0		
2.4	0.149253981720876	0.0	0		
2.415	0.153248157470757	0.0	0		
2.43	0.157242333220637	0.0	0		
2.445	0.160003327583357	0.0	0		
2.46	0.160400597752028	0.0	0		
2.475	0.160797867920699	0.0	0		
2.49	0.166169486999342	0.0	0		
2.505	0.173921623804218	0.0	0		
2.52	0.181661947252558	0.0	0		
2.535	0.188211536519835	0.0	0		
2.55	0.194761125787112	0.0	0		
2.565	0.202379701789263	0.0	0		
2.58	0.212043030216393	0.0	0		
2.595	0.221706358643523	0.0	0		
2.61	0.232488781341077	0.0	0		
2.625	0.243805612632405	0.0	0		
2.64	0.255074045325274	0.0	0		
2.655	0.261688056782066	0.0	0		
2.67	0.268302068238857	0.0	0		
2.685	0.2724319129711	0.0	0		
2.7	0.271819902170715	0.0	0		
2.715	0.27120789137033	0.0	0		
2.73	0.273199209527829	0.0	0		
2.745	0.276431056035125	0.0	0		
2.76	0.279599596613096	0.0	0		
2.775	0.276947549811427	0.0	0		
2.79	0.27429550300976	0.0	0		
2.805	0.272608166111363	0.0	0		
2.82	0.272758484553562	0.0	0		
2.835	0.272908802995762	0.0	0		
2.85	0.278152945336091	0.0	0		
2.865	0.285819185888281	0.0	0		
2.88	0.293417680457075	0.0	0		
2.895	0.295049709258101	0.0	0		
2.91	0.296681738059127	0.0	0		
2.925	0.296485359629651	0.0	0		
2.94	0.292813294827342	0.0	0		
2.955	0.289141230025033	0.0	0		
2.97	0.288127063821278	0.0	0		
2.985	0.28837401554775	0.0	0		
3.0	0.288633523988225	0.0	0		
3.015	0.289954178873266	0.0	0		
3.03	0.291274833758307	0.0	0		
3.045	0.287807011192237	0.0	0		
3.06	0.275255421268553	0.0	0		
3.075	0.26270383134487	0.0	0		
3.09	0.247813134755173	0.0	0		
